date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:33:34	157241/157241	---M--	200	added ('OK')	application/pdf	etag:%2226639-4d87d0809391a%22	http://micro.stanford.edu/~caiwei/papers/Ryu08msmse-meltingT.pdf	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/papers/Ryu08msmse-meltingT.pdf	(from http://micro.stanford.edu/~caiwei/Forum/)
10:33:35	265/265	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Sep%202019%2002:34:07%20GMT	http://micro.stanford.edu/~caiwei/Forum/2010-04-12-Aniso	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2010-04-12-Aniso.b.delayed	(from http://micro.stanford.edu/~caiwei/Forum/)
10:33:57	370366/370366	---M--	200	added ('OK')	application/pdf	etag:%225a6be-4d87d082348fa%22	http://micro.stanford.edu/~caiwei/papers/Cai03pm-image.pdf	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/papers/Cai03pm-image.pdf	(from http://micro.stanford.edu/~caiwei/Forum/)
10:33:59	269/269	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Sep%202019%2002:34:30%20GMT	http://micro.stanford.edu/~caiwei/Forum/2012-04-03-Multipole	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2012-04-03-Multipole.d.delayed	(from http://micro.stanford.edu/~caiwei/Forum/)
10:34:00	357421/357421	---M--	200	added ('OK')	application/pdf	etag:%225742d-4d87d083ba359%22	http://micro.stanford.edu/~caiwei/papers/Cai06jmps-nonsingular.pdf	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/papers/Cai06jmps-nonsingular.pdf	(from http://micro.stanford.edu/~caiwei/Forum/)
10:34:01	1384/1384	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202019%2002:34:32%20GMT	http://micro.stanford.edu/~caiwei/Forum/2010-04-12-Aniso/	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2010-04-12-Aniso/index.html	(from http://micro.stanford.edu/~caiwei/Forum/)
10:34:03	1396/1396	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202019%2002:34:34%20GMT	http://micro.stanford.edu/~caiwei/Forum/2012-04-03-Multipole/	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2012-04-03-Multipole/index.html	(from http://micro.stanford.edu/~caiwei/Forum/)
10:34:04	274/274	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Sep%202019%2002:34:36%20GMT	http://micro.stanford.edu/~caiwei/Forum/2018-02-09-Eshelby-Tensor	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2018-02-09-Eshelby-Tensor	(from http://micro.stanford.edu/~caiwei/Forum/)
10:34:05	237/237	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Sep%202019%2002:34:37%20GMT	http://micro.stanford.edu/~caiwei/papers/Barnet_Cai_2018_JMPS.pdf	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/papers/Barnet_Cai_2018_JMPS.pdf	(from http://micro.stanford.edu/~caiwei/Forum/)
10:34:07	1444/1444	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202019%2002:34:38%20GMT	http://micro.stanford.edu/~caiwei/Forum/2018-02-09-Eshelby-Tensor/	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2018-02-09-Eshelby-Tensor/index.html	(from http://micro.stanford.edu/~caiwei/Forum/)
10:34:09	2695/2695	---M-Z	200	added ('OK')	text/plain	etag:%22a87-4d87d07ccdbfa-gzip%22	http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/readme.txt	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2004-08-08-MadSum/readme.txt	(from http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/)
10:34:11	193467/193467	---M--	200	added ('OK')	application/pdf	etag:%222f3bb-4d87d083df519%22	http://micro.stanford.edu/~caiwei/papers/Yin10msmse-aniso.pdf	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/papers/Yin10msmse-aniso.pdf	(from http://micro.stanford.edu/~caiwei/Forum/)
10:34:11	3987/3987	---M--	200	added ('OK')	text/html	etag:%22f93-4d87d07ccdbfa%22	http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/madsum_iso.m	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2004-08-08-MadSum/madsum_iso.html	(from http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/)
10:34:13	5540/5540	---M--	200	added ('OK')	text/html	etag:%2215a4-4d87d07cc8dda%22	http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/madsum_aniso.m	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2004-08-08-MadSum/madsum_aniso.html	(from http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/)
10:34:15	2926/2926	---M--	200	added ('OK')	text/html	etag:%22b6e-4d87d07cceb9a%22	http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/madsum_cubic.m	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2004-08-08-MadSum/madsum_cubic.html	(from http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/)
10:34:17	2692/2692	---M--	200	added ('OK')	text/html	etag:%22a84-4d87d07ccdbfa%22	http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/sextic.m	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2004-08-08-MadSum/sextic.html	(from http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/)
10:34:19	181/181	---M--	200	added ('OK')	text/html	etag:%22b5-4d87d07ccdbfa%22	http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/testmadsumiso.m	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2004-08-08-MadSum/testmadsumiso.html	(from http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/)
10:34:21	1075/1075	---M--	200	added ('OK')	text/html	etag:%22433-4d87d07ccdbfa%22	http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/testmadsumcubic.m	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2004-08-08-MadSum/testmadsumcubic.html	(from http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/)
10:34:23	24818/24818	---M--	200	added ('OK')	text/html	etag:%2260f2-4d87d07cc5efa%22	http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/maddiso	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2004-08-08-MadSum/maddiso.html	(from http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/)
10:34:25	64716/64716	---M--	200	added ('OK')	text/html	etag:%22fccc-4d87d07cceb9a%22	http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/maddaniso	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2004-08-08-MadSum/maddaniso.html	(from http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/)
10:35:00	336994/336994	---M--	200	added ('OK')	application/pdf	etag:%2252462-4d87d0822fada%22	http://micro.stanford.edu/~caiwei/papers/Yin_FMM_MSMSE_preprint.pdf	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/papers/Yin_FMM_MSMSE_preprint.pdf	(from http://micro.stanford.edu/~caiwei/Forum/)
10:35:03	836/836	---M--	200	added ('OK')	application/x-ns-proxy-autoconfig	etag:%22344-4d87d07ccdbfa%22	http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/phRI.dat	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2004-08-08-MadSum/phRI.dat	(from http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/)
10:35:04	148/148	---M--	200	added ('OK')	image/gif	etag:%2294-3e9564c23b600%22	http://micro.stanford.edu/icons/blank.gif	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/icons/blank.gif	(from http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD/)
10:35:05	216/216	---M--	200	added ('OK')	image/gif	etag:%22d8-3e9564c23b600%22	http://micro.stanford.edu/icons/back.gif	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/icons/back.gif	(from http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD/)
10:35:07	1038/1038	---M--	200	added ('OK')	image/gif	etag:%2240e-3e9564c23b600%22	http://micro.stanford.edu/icons/compressed.gif	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/icons/compressed.gif	(from http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD/)
10:35:09	906/906	---M--	503	error ('Service%20Unavailable')	text/html		http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD/NSDD.tar.gz	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2005-04-18-NSDD/NSDD.tar.gz	(from http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD/)
10:35:11	1656/1656	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202019%2002:35:42%20GMT	http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD/?C=N;O=D	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2005-04-18-NSDD/indexc052.html	(from http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD/)
10:35:12	229/229	---M--	200	added ('OK')	image/gif	etag:%22e5-3e9564c23b600%22	http://micro.stanford.edu/icons/text.gif	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/icons/text.gif	(from http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD/)
10:35:13	96/96	---M-Z	200	added ('OK')	text/html	etag:%2260-4d87d07fc19ba-gzip%22	http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD/README.html	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2005-04-18-NSDD/README.html	(from http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD/)
10:35:15	8362/8362	---M-Z	200	added ('OK')	text/plain	etag:%2220aa-4d87d07fc19ba-gzip%22	http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD/README.txt	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2005-04-18-NSDD/README.txt	(from http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD/)
10:35:17	276/276	---M--	200	added ('OK')	image/gif	etag:%22114-3e9564c23b600%22	http://micro.stanford.edu/icons/layout.gif	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/icons/layout.gif	(from http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD/)
10:35:38	391086/391086	---M--	200	added ('OK')	application/x-gzip	etag:%225f7ae-4d87d07cc8dda%22	http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/madsum.ps.gz	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2004-08-08-MadSum/madsum.ps.gz	(from http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/)
10:35:39	1656/1656	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202019%2002:36:11%20GMT	http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD/?C=M;O=A	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2005-04-18-NSDD/indexf8a0.html	(from http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD/)
10:35:52	481224/481224	---M--	200	added ('OK')	application/pdf	etag:%22757c8-4d87d07cccc5a%22	http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/madsum.pdf	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2004-08-08-MadSum/madsum.pdf	(from http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/)
10:36:08	160984/160984	---M--	200	added ('OK')	application/pdf	etag:%22274d8-4d87d0591a19b%22	http://micro.stanford.edu/~caiwei/Forum/2005-12-05-DDLab/DDLAB%20Primer.pdf	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2005-12-05-DDLab/DDLAB%20Primer.pdf	(from http://micro.stanford.edu/~caiwei/Forum/2005-12-05-DDLab/)
10:36:10	1343/1343	---M-Z	200	added ('OK')	text/html	etag:%2253f-4d87d0591ff5b-gzip%22	http://micro.stanford.edu/~caiwei/Forum/2005-12-05-DDLab/README.html	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2005-12-05-DDLab/README.html	(from http://micro.stanford.edu/~caiwei/Forum/2005-12-05-DDLab/)
10:36:12	918/918	---M--	503	error ('Service%20Unavailable')	text/html		http://micro.stanford.edu/~caiwei/Forum/2005-12-05-DDLab/ddlab-2007-12-18.tar.gz	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2005-12-05-DDLab/ddlab-2007-12-18.tar.gz	(from http://micro.stanford.edu/~caiwei/Forum/2005-12-05-DDLab/)
10:36:14	1656/1656	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202019%2002:36:45%20GMT	http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD/?C=S;O=A	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2005-04-18-NSDD/indexbfec.html	(from http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD/)
10:36:16	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Sep%202019%2002:36:14%20GMT	http://www.stanford.edu/~caiwei/Pictures/at2.jpg	/home/zhangjiayong/websites/caiweiForum/www.stanford.edu/_caiwei/Pictures/at2.2a.delayed	(from http://micro.stanford.edu/~caiwei/Forum/2005-12-05-DDLab/)
10:36:18	1656/1656	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202019%2002:36:49%20GMT	http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD/?C=D;O=A	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2005-04-18-NSDD/index30b5.html	(from http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD/)
10:36:24	444/444	---M--	200	added ('OK')	image/jpeg	etag:%221bc-3de958c91f100%22	https://web.stanford.edu/~caiwei/Pictures/at2.jpg	/home/zhangjiayong/websites/caiweiForum/web.stanford.edu/_caiwei/Pictures/at2.jpg	(from http://micro.stanford.edu/~caiwei/Forum/2005-12-05-DDLab/)
10:36:25	2939/2939	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202019%2002:36:57%20GMT	http://micro.stanford.edu/~caiwei/Forum/2005-12-05-DDLab/?C=N;O=D	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2005-12-05-DDLab/indexc052.html	(from http://micro.stanford.edu/~caiwei/Forum/2005-12-05-DDLab/)
10:37:10	256665/256665	---M--	200	added ('OK')	application/pdf	etag:%223ea99-4d87d07fa44fa%22	http://micro.stanford.edu/~caiwei/Forum/2006-05-03-VarCalc/vari_calculus_v04.pdf	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2006-05-03-VarCalc/vari_calculus_v04.pdf	(from http://micro.stanford.edu/~caiwei/Forum/2006-05-03-VarCalc/)
10:37:12	2939/2939	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202019%2002:37:43%20GMT	http://micro.stanford.edu/~caiwei/Forum/2005-12-05-DDLab/?C=M;O=A	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2005-12-05-DDLab/indexf8a0.html	(from http://micro.stanford.edu/~caiwei/Forum/2005-12-05-DDLab/)
10:37:14	219/219	---M--	200	added ('OK')	image/gif	etag:%22db-3e9564c23b600%22	http://micro.stanford.edu/icons/tar.gif	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/icons/tar.gif	(from http://micro.stanford.edu/~caiwei/Forum/2008-07-18-Entangle/)
10:37:16	477031/477031	---M--	200	added ('OK')	application/pdf	etag:%2274767-4d87d0591ff5b%22	http://micro.stanford.edu/~caiwei/Forum/2005-12-05-DDLab/DDLab_shortcourse.pdf	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2005-12-05-DDLab/DDLab_shortcourse.pdf	(from http://micro.stanford.edu/~caiwei/Forum/2005-12-05-DDLab/)
10:37:16	907/907	---M--	503	error ('Service%20Unavailable')	text/html		http://micro.stanford.edu/~caiwei/Forum/2008-07-18-Entangle/Entangle.tar	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2008-07-18-Entangle/Entangle.tar	(from http://micro.stanford.edu/~caiwei/Forum/2008-07-18-Entangle/)
10:37:18	2939/2939	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202019%2002:37:49%20GMT	http://micro.stanford.edu/~caiwei/Forum/2005-12-05-DDLab/?C=S;O=A	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2005-12-05-DDLab/indexbfec.html	(from http://micro.stanford.edu/~caiwei/Forum/2005-12-05-DDLab/)
10:37:18	2939/2939	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202019%2002:37:49%20GMT	http://micro.stanford.edu/~caiwei/Forum/2005-12-05-DDLab/?C=D;O=A	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2005-12-05-DDLab/index30b5.html	(from http://micro.stanford.edu/~caiwei/Forum/2005-12-05-DDLab/)
10:37:19	225/225	---M--	200	added ('OK')	image/gif	etag:%22e1-3e9564c23b600%22	http://micro.stanford.edu/icons/folder.gif	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/icons/folder.gif	(from http://micro.stanford.edu/~caiwei/Forum/2008-07-18-Entangle/)
10:37:20	956/956	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202019%2002:37:52%20GMT	http://micro.stanford.edu/~caiwei/Forum/2006-05-03-VarCalc/?C=N;O=D	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2006-05-03-VarCalc/indexc052.html	(from http://micro.stanford.edu/~caiwei/Forum/2006-05-03-VarCalc/)
10:37:21	956/956	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202019%2002:37:53%20GMT	http://micro.stanford.edu/~caiwei/Forum/2006-05-03-VarCalc/?C=M;O=A	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2006-05-03-VarCalc/indexf8a0.html	(from http://micro.stanford.edu/~caiwei/Forum/2006-05-03-VarCalc/)
10:37:24	956/956	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202019%2002:37:55%20GMT	http://micro.stanford.edu/~caiwei/Forum/2006-05-03-VarCalc/?C=S;O=A	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2006-05-03-VarCalc/indexbfec.html	(from http://micro.stanford.edu/~caiwei/Forum/2006-05-03-VarCalc/)
10:37:26	1970/1970	---M-Z	200	added ('OK')	text/plain	etag:%227b2-4d87d059366bb-gzip%22	http://micro.stanford.edu/~caiwei/Forum/2008-07-18-Entangle/readme.txt	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2008-07-18-Entangle/readme.txt	(from http://micro.stanford.edu/~caiwei/Forum/2008-07-18-Entangle/)
10:37:27	956/956	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202019%2002:37:59%20GMT	http://micro.stanford.edu/~caiwei/Forum/2006-05-03-VarCalc/?C=D;O=A	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2006-05-03-VarCalc/index30b5.html	(from http://micro.stanford.edu/~caiwei/Forum/2006-05-03-VarCalc/)
10:37:30	8150/8150	---M-Z	200	added ('OK')	text/plain	etag:%221fd6-4d87d059308fb-gzip%22	http://micro.stanford.edu/~caiwei/Forum/2010-04-12-Aniso/README.txt	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2010-04-12-Aniso/README.txt	(from http://micro.stanford.edu/~caiwei/Forum/2010-04-12-Aniso/)
10:37:39	824564/824564	---M--	200	added ('OK')	application/pdf	etag:%22c94f4-4d87d07fc19ba%22	http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD/nonsingular-preprint.pdf	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2005-04-18-NSDD/nonsingular-preprint.pdf	(from http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD/)
10:37:40	907/907	---M--	503	error ('Service%20Unavailable')	text/html		http://micro.stanford.edu/~caiwei/Forum/2010-04-12-Aniso/aniso.tar.gz	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2010-04-12-Aniso/aniso.tar.34.delayed	(from http://micro.stanford.edu/~caiwei/Forum/2010-04-12-Aniso/)
10:37:42	1571/1571	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202019%2002:38:13%20GMT	http://micro.stanford.edu/~caiwei/Forum/2008-07-18-Entangle/?C=N;O=D	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2008-07-18-Entangle/indexc052.html	(from http://micro.stanford.edu/~caiwei/Forum/2008-07-18-Entangle/)
10:37:43	1571/1571	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202019%2002:38:15%20GMT	http://micro.stanford.edu/~caiwei/Forum/2008-07-18-Entangle/?C=M;O=A	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2008-07-18-Entangle/indexf8a0.html	(from http://micro.stanford.edu/~caiwei/Forum/2008-07-18-Entangle/)
